FID,OBJECTID,Road_Block,Road_Speed,Road_Width,Road_AADT,Length,wmean.koala,wmean.kangaroo,wmean.wallaby,veg500,veg100m,sinuosity,Wallabies_counts,Koala_counts,Kangaroo_counts,veg100_prop,wmean.koala100,wmean.wallaby100,wmean.kangaroo100,imp.prop,barren.prop,veghigh,vegmid,veglow,vegveryhigh
10158,14474,214483,60,3,0,248.223999,3.539600973,501.337411,985.1030818,77400,21600,0.999867378,0,0,0,0.8,768.671027,300.801462,448.8670275,0.067665539,0.368132753,0.291928468,0.021427421,0.093442887,0.052360238
10159,14474,214483,60,3,0,248.1080017,2.310178939,359.4121485,983.1526913,34200,14400,0.977042819,0,0,0,0.571428571,482.7415198,295.6396039,277.995938,0.180293501,0.481373972,0.105950653,0.00596678,0.123528463,0.062731817
10160,14476,214485,60,3,0,248.7429962,2.49296134,286.4897946,983.0043038,45900,13500,0.999953728,0,0,0,0.517241379,548.6825253,425.8341858,189.8796425,0.173123292,0.457000482,0.082141135,0.00273268,0.160906607,0.088410223
10161,14476,214485,60,3,0,248.5099945,2.560133463,190.4525724,981.5600548,53100,21600,0.99999753,0,0,0,0.827586207,634.0018828,375.3842369,149.0557837,0.140856407,0.414037347,0.091596909,0.005956214,0.183515776,0.107372827
10162,14478,214487,60,3,0,116.5410004,2.826804338,200.4762106,983.3649587,18900,9000,0.999998812,0,0,0,0.769230769,644.0546579,472.1457005,117.7707981,0.120494336,0.297631308,0.144524545,0.002059732,0.224510814,0.163062135
10163,14480,214489,60,3,0,253.3350067,2.702335753,288.5211155,982.2341783,21600,12600,0.99207137,0,0,0,0.482758621,741.5125152,412.5413015,226.0396615,0.114929844,0.432445215,0.080876557,0.000945925,0.166009775,0.145672395
10164,14480,214489,60,3,0,243.8329926,2.802639374,456.1551761,981.4123349,39600,17100,0.99999939,0,0,0,0.678571429,781.3434721,373.5501285,403.5292405,0.138825074,0.371184772,0.136691828,0.007056121,0.182802757,0.106662291
10165,14482,214491,60,3,0,249.4720001,2.445512914,528.844544,978.3912894,56700,17100,0.997254764,0,0,0,0.730769231,802.6136917,527.9805007,588.5121116,0.069849407,0.266581224,0.203941045,0.016501121,0.276033323,0.135693688
10166,14482,214491,60,3,0,247.2740021,2.292104304,483.4587413,978.2961942,26100,14400,0.99957874,0,0,0,0.571428571,831.5779422,508.0752165,537.6709194,0.045778065,0.239404723,0.190067939,0.020867033,0.362342284,0.097864769
10167,14484,214493,60,3,0,321.0299988,2.247231575,510.738106,984.2600388,66600,21600,0.901000628,0,0,0,0.705882353,863.1805467,498.9464103,528.0094729,0.082112905,0.334960571,0.148328952,0.02490925,0.227312555,0.132557266
10168,14486,214495,60,3,0,264.3789978,4.594521874,461.3776099,987.3205961,110700,23400,0.942108809,0,0,0,0.866666667,947.7459797,674.1550979,459.2524269,0.041048167,0.232505301,0.270372614,0.062253862,0.206755529,0.129354741
10169,14486,214495,60,3,0,232.822998,3.388866463,416.7293546,985.9516753,67500,18900,0.964958476,0,0,0,0.75,964.0048271,667.3519987,387.2054627,0.042999656,0.207602339,0.23993808,0.062779498,0.271929825,0.131750946
10170,14488,214497,60,3,0,351.3670044,7.331766147,476.1142319,987.5937338,122400,26100,0.743226328,0,0,0,0.743589744,942.3065903,732.9554041,449.0487003,0.023828992,0.196472375,0.282210022,0.037145193,0.283494919,0.125569443
10171,14490,214499,60,3,0,247.6029968,8.559062017,546.4885122,986.2138643,94500,22500,0.97929832,0,0,0,0.961538462,975.712785,830.8196492,517.4027058,0.008725158,0.071740184,0.317175634,0.033123283,0.137340443,0.400710939
10172,14490,214499,60,3,0,233.2920074,22.75384193,625.2978519,956.7838169,114300,22500,0.8594338,0,0,0,1,935.4155607,860.3039867,671.1247512,0.041724377,0.078947368,0.367382271,0.036530471,0.106648199,0.344355956
10173,14492,214501,60,3,0,232.2579956,11.82475732,681.8471048,972.9964746,105300,21600,0.97543086,0,0,0,0.96,926.1971428,750.0540418,740.5689899,0.066932547,0.169585573,0.401421883,0.065892145,0.180856598,0.069706953
10174,14492,214501,60,3,0,220.1269989,14.38222464,652.9692349,958.7141766,108000,18900,0.921144269,0,0,0,0.807692308,942.1006661,742.2892038,733.8423965,0.057973632,0.114683041,0.36572151,0.056348203,0.249051833,0.100595991
10175,14494,214503,60,3,0,80.60489655,9.601006107,608.7515539,983.0222128,40500,7200,0.999999576,0,0,0,0.888888889,945.5160831,850.2846875,576.3945111,0.040714995,0.068520357,0.430983118,0.091857001,0.258192651,0.071499503
10176,14496,214505,60,3,0,127.4520035,7.633000957,658.6943394,988.1978582,57600,9000,0.980966451,0,0,0,0.666666667,986.4651114,742.6856306,638.173743,0.03548995,0.163316583,0.380025126,0.098932161,0.270414573,0.029836683
10177,14498,214507,60,23,0,235.5079956,10.27614308,600.7147115,981.9608978,102600,20700,0.994617404,0,0,0,0.92,959.9141885,788.6934443,620.5850198,0.073406967,0.113508921,0.370433305,0.109090909,0.218521665,0.062192014
10178,14498,214507,60,23,0,7.252449989,12.53843366,478.9419803,974.8380646,2700,1800,0.999999366,0,0,0,0.666666667,991.9774967,725.2804381,416.2838146,0.104395604,0.093406593,0.521978022,0.049450549,0.203296703,0.010989011
10179,14498,214507,60,23,0,5.656849861,10.1555382,511.8703338,964.9200832,5400,1800,1.000000784,0,0,0,0.666666667,686.7136716,669.0073993,671.320086,0.084507042,0.126760563,0.197183099,0.147887324,0.345070423,0.091549296
10180,14498,214507,60,23,0,232.2409973,10.9325133,592.858375,946.2185759,86400,18900,0.878701472,0,0,0,0.75,822.4878982,744.4786865,664.2677642,0.049965422,0.173063624,0.322959889,0.089903181,0.250518672,0.07313278
10181,14500,214509,60,3,0,269.1860046,6.341976599,627.3920065,679.5614297,71100,23400,0.93049015,0,0,0,0.764705882,748.2350551,557.4567704,610.4183926,0.091343284,0.198955224,0.28880597,0.051492537,0.253731343,0.043283582
10182,14500,214509,60,3,0,227.7949982,3.968233873,622.7885818,454.6914646,66600,7200,0.900478571,0,0,0,0.307692308,256.9384351,350.3184803,611.8239305,0.100299138,0.206932958,0.170332571,0.065634348,0.411578392,0.023051205
10183,14502,214511,60,3,0,248.9519958,4.033787285,560.2130302,481.6658033,76500,5400,0.995438169,0,0,0,0.2,376.7374201,471.1569541,492.6749916,0.079048843,0.318605398,0.090938303,0.052859897,0.441356041,0.000642674
10184,14502,214511,60,3,0,250.3040009,8.743768164,622.3495031,653.9128037,83700,16200,0.991660251,0,0,0,0.620689655,636.1764176,696.6128141,552.7219283,0.053742802,0.188899552,0.325815739,0.053422905,0.273672425,0.085892514
10185,14504,214513,60,3,0,253.3249969,8.377363081,603.5659044,718.6819866,65700,12600,0.985638248,0,0,0,0.411764706,584.6766411,676.3084867,584.9959801,0.068404423,0.399842022,0.156556082,0.062085308,0.265718799,0.028751975
10186,14504,214513,60,3,0,243.6049957,6.271526414,577.9620491,627.44635,44100,8100,0.965820428,0,0,0,0.310344828,379.3961332,477.1307935,531.8673986,0.197281223,0.479694138,0.10433305,0.012914189,0.137638063,0.033984707
10187,14506,214515,60,3,0,253.3679962,5.460460941,520.5096695,843.8507764,66600,3600,0.987869911,0,0,0,0.137931034,315.8670859,430.6956463,364.8191963,0.091741671,0.616927207,0.045949787,0.011684826,0.216011369,0.007737249
10188,14506,214515,60,3,0,244.5639954,12.451327,712.6852695,959.1778603,115200,21600,0.999430249,0,0,0,0.857142857,956.8692146,900.1043932,720.4364131,0.055969531,0.169564497,0.333002153,0.076833913,0.218248054,0.114754098
10189,14508,214517,60,3,0,239.9949951,9.540539947,713.4688524,948.7601302,65700,18000,0.992664244,0,0,0,0.769230769,750.4671519,823.7058317,766.3384346,0.109833333,0.3075,0.195166667,0.041,0.268,0.033166667
10190,14508,214517,60,3,0,233.3699951,9.183094595,810.4419493,951.4191972,76500,19800,0.986155081,0,0,0,0.785714286,828.3709284,817.2576983,815.1171665,0.092421125,0.272119342,0.223422497,0.014231824,0.289951989,0.067558299
10191,14510,214519,60,3,0,253.1660004,6.94142371,770.5507973,943.8148039,79200,18000,0.992832782,0,0,0,0.666666667,586.1275571,839.1590094,809.0862242,0.029374605,0.409823121,0.174194567,0.016740366,0.250631712,0.084965256
10192,14510,214519,60,3,0,244.1970062,8.266290863,741.3060114,949.1921641,72900,18900,0.994545159,0,0,0,0.75,759.9539082,818.4255048,718.0977582,0.04517522,0.326025577,0.149975087,0.028400598,0.332502906,0.092841721
10193,14512,214521,60,3,0,252.5839996,7.860827023,595.482229,946.7438947,70200,19800,0.99159919,0,0,0,0.709677419,662.8869225,723.1180245,481.8631157,0.034640936,0.437361594,0.284561848,0.035906359,0.14109459,0.012496046
10194,14512,214521,60,3,0,245.3280029,5.199045128,565.9837323,949.3107095,65700,16200,0.991696396,0,0,0,0.620689655,544.5201414,652.5315004,432.7529708,0.059207307,0.465992497,0.213994454,0.020551297,0.158538574,0.024628935
10195,14514,214523,60,3,0,257.8649902,9.229571878,603.6138906,991.8687257,92700,22500,0.973270949,0,0,0,0.833333333,937.2984905,823.5962031,578.5107619,0.03769195,0.321544905,0.266635644,0.042190166,0.139289592,0.102683419
10196,14514,214523,60,3,0,239.4720001,12.88801378,711.4421837,993.4366735,78300,18900,0.902278285,0,0,0,0.75,932.5371763,868.2487872,789.3618076,0.03893066,0.320634921,0.237593985,0.060150376,0.174770259,0.091896408
10197,14516,214525,60,3,0,249.5180054,5.742105646,759.4952145,991.849261,15300,9000,0.99771159,0,0,0,0.344827586,634.1350061,749.9078714,799.8396607,0.102543593,0.571268597,0.127019677,0.003839386,0.078707407,0.082386818
10198,14516,214525,60,3,0,248.8419952,4.986808092,857.4345019,981.7985611,10800,6300,0.999348264,0,0,0,0.25,351.7998061,523.2121778,820.5174732,0.114092881,0.542503616,0.073597943,0.001446248,0.21163426,0.030210509
10199,14518,214527,60,3,0,309.0559998,12.37334906,841.2873494,992.9569677,59400,19800,0.99003219,0,0,0,0.594594595,628.145103,766.3160172,786.6225426,0.093428345,0.514515703,0.130509369,0.018870414,0.10253365,0.095671681
10200,14520,214529,60,3,0,262.1610107,10.9557771,808.9903273,992.9912746,48600,9900,0.960200415,0,0,0,0.379310345,476.854534,760.773765,747.4249789,0.045828802,0.576821501,0.127699239,0.011185335,0.133757962,0.065713842
10201,14520,214529,60,3,0,235.3699951,9.927997789,742.8897748,992.6480482,35100,7200,0.994428317,0,0,0,0.285714286,658.3834705,684.8377486,690.1735839,0.102716469,0.64770798,0.094057725,0.007470289,0.079626486,0.022241087
10202,14522,214531,60,3,0,252.3170013,13.90902852,732.4314996,994.766992,58500,17100,0.999144625,0,0,0,0.633333333,908.7582174,753.8114274,654.1080872,0.102600698,0.453377735,0.167459562,0.023628291,0.114494133,0.079923882
10203,14522,214531,60,3,0,246.0019989,14.89304967,844.4278955,993.5305534,55800,10800,0.972864081,0,0,0,0.428571429,674.759137,685.162195,699.1676113,0.122518711,0.608851285,0.140091116,0.013342011,0.068825252,0.013179304
10204,14524,214533,80,3,0,278.7070007,65.75117079,801.8080995,987.205285,40500,10800,0.999849055,0,0,0,0.342857143,720.185028,814.8744263,788.6774162,0.094171691,0.383577376,0.145133506,0.026270457,0.269738731,0.029715762
10205,14524,214533,80,3,0,277.6260071,75.23824247,813.3511416,986.9792261,72000,15300,0.999992939,0,0,0,0.566666667,906.8728527,899.8656946,803.9138799,0.016280075,0.303846708,0.256303126,0.053162369,0.246506267,0.045238438
10206,14526,214535,80,3,0,250.2660065,5.685959701,511.1585417,986.6232075,77400,20700,0.999951925,0,0,0,0.766666667,556.3626041,421.0599228,463.5741317,0.068100358,0.380579993,0.203323558,0.031769306,0.215868361,0.053763441
10207,14526,214535,80,3,0,248.5829926,7.887247295,555.7310965,989.2281173,92700,24300,0.996092721,0,0,0,0.931034483,766.7589883,691.0762065,613.7935655,0.031164659,0.218473896,0.394216867,0.034216867,0.191807229,0.055421687
10208,14528,214537,60,3,0,250.548996,16.46523874,441.23038,620.0920004,125100,25200,0.994819446,0,0,0,1,941.0761307,723.7453575,424.6820792,0.053959132,0.152458493,0.411877395,0.072796935,0.17289272,0.037037037
10209,14528,214537,60,3,0,247.6569977,17.14621285,389.2874103,612.8771413,118800,24300,0.933137189,0,0,0,0.964285714,912.7401409,564.4420618,377.1525498,0.053329024,0.149644473,0.351001939,0.064802844,0.214124111,0.056561086
10210,14530,214539,60,3,0,279.493988,13.16184181,451.5413927,586.3190595,135900,24300,0.993118984,0,0,0,0.84375,852.8299423,435.4114623,454.6628999,0.042501431,0.141671437,0.327132227,0.075987407,0.277475673,0.077561534
10211,14532,214541,60,3,0,252.0350037,6.093161742,502.6399473,591.8230073,122400,23400,0.993527481,0,0,0,0.896551724,916.7988643,398.7896668,492.5849795,0.033825631,0.191678577,0.289820549,0.037319358,0.242972844,0.118310306
10212,14532,214541,60,3,0,245.720993,5.371305162,366.5231789,575.5610912,126000,25200,0.943776696,0,0,0,1,827.837465,478.6869828,283.2892737,0.024425989,0.156814851,0.353688324,0.034847745,0.257612767,0.069369809
10213,14534,214543,60,3,0,250.6889954,6.445940745,264.6197646,513.9062193,128700,25200,0.99424458,0,0,0,0.933333333,705.1223099,548.9360964,313.7749628,0.030133929,0.110809949,0.359215561,0.055165816,0.291772959,0.095184949
10214,14534,214543,60,3,0,248.201004,6.129938924,239.2587131,522.1064918,123300,24300,0.941498066,0,0,0,0.931034483,739.1871712,691.4716412,263.9097958,0.018712696,0.079690273,0.448782062,0.055331505,0.214389418,0.102919826
10215,14536,214545,60,3,0,251.1399994,10.6337225,306.4689421,511.2435985,127800,25200,0.987862363,0,0,0,1,823.2245347,722.782718,307.3749363,0.009722665,0.034746573,0.58240357,0.033949633,0.121134842,0.171660822
10216,14536,214545,60,3,0,246.7890015,14.47390361,267.2166603,96.66089877,126900,26100,0.990060733,0,0,0,1,782.1903494,889.60442,272.4954053,0.004704737,0.029526282,0.535204413,0.039260221,0.092796885,0.268818949
10217,14538,214547,60,3,0,260.9909973,13.81604477,213.5888357,39.96683622,134100,27000,0.965328036,0,0,0,1,344.1937538,781.0541508,197.4765403,0.002605763,0.013488657,0.52360515,0.05441447,0.054107909,0.346719804
10218,14538,214547,60,3,0,235.7460022,12.07889368,193.3056591,23.92663033,118800,24300,0.920956432,0,0,0,1,387.8577665,695.4417765,183.2811874,0.007979626,0.020033956,0.685908319,0.028013582,0.038879457,0.199490662
10219,14540,214549,60,3,0,252.4790039,11.72943474,151.3820986,15.72304168,129600,23400,0.986503357,0,0,0,1,367.6772936,782.5998748,175.3418097,0.028385664,0.065968918,0.536314621,0.104820806,0.131620679,0.072153505
10220,14540,214549,60,3,0,240.8690033,8.935436561,168.9431189,17.45239712,121500,25200,0.95622777,0,0,0,1,371.2986139,805.7554122,177.750367,0.027274239,0.091468485,0.400299351,0.135872277,0.156327956,0.155829037
10221,14542,214551,60,3,0,261.2590027,8.459355823,155.1724495,6.610985117,129600,27900,0.964414667,0,0,0,1,389.6010005,826.3798284,143.1206434,0.037241379,0.031877395,0.563218391,0.145900383,0.151724138,0.035249042
10222,14542,214551,60,3,0,237.6239929,7.784860254,155.2155318,0.077931176,119700,24300,0.944663549,0,0,0,1,390.058395,780.8673735,177.7802394,0.028653295,0.02511377,0.745322771,0.076352604,0.052081578,0.032361369
10223,14544,214553,60,3,0,251.0299988,5.432498285,187.9465077,0.268157688,104400,21600,0.868171868,0,0,0,0.8,279.1303134,585.5374207,184.4993221,0.04328382,0.12569877,0.416387159,0.090720332,0.214183038,0.048235106
10224,14546,214555,60,3,0,252.2969971,7.454298628,556.4351967,534.2598388,89100,13500,0.974361252,0,0,0,0.535714286,445.1354037,348.943675,520.3566147,0.058037844,0.236285578,0.191922404,0.05756082,0.37653045,0.003180156
10225,14546,214555,60,3,0,241.7440033,15.24370276,579.7074139,544.9895783,108900,21600,0.747521172,0,0,0,0.888888889,735.0523241,510.98784,441.7154249,0.062953586,0.134345992,0.384303797,0.06278481,0.231054852,0.036118143
10226,14548,214557,60,3,0,357.9809875,19.26218086,454.5639997,544.2524031,47700,27000,0.698936061,0,0,0,0.681818182,780.6664153,630.5440273,609.5274918,0.062177329,0.13030303,0.320426487,0.086868687,0.343546577,0.017059484
10227,14548,214557,60,3,0,141.4980011,13.23949196,526.1130117,612.8020937,63900,11700,0.964806313,0,0,0,0.928571429,970.4343525,780.7118668,665.3892329,0.022108844,0.051587302,0.518707483,0.140589569,0.18622449,0.054138322
10228,14550,214559,80,3,0,259.3739929,598.6881488,424.9229413,987.4253476,38700,4500,0.958448371,0,0,0,0.15625,116.9358714,284.306944,243.0469944,0.04042586,0.094275575,0.029933652,0.00108008,0.813763308,0.017281284
